ParticipantName	FixationIndex	AOI[window]Hit	AOI[title]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	
P01	1	1	0	1	0	0	0	0	
P01	2	1	0	0	0	0	0	0	
P01	3	1	0	0	0	0	0	0	
P01	4	1	0	0	0	0	0	0	
P01	5	1	1	0	0	0	0	0	
P01	6	1	1	0	0	0	0	0	
P01	7	1	0	1	0	0	0	0	
P01	8	1	0	1	0	1	0	0	
P01	9	1	0	1	0	0	0	1	
P01	10	1	0	1	0	0	0	1	
P01	11	1	0	0	1	0	0	0	
P01	12	1	0	0	0	0	0	0	
P01	13	1	0	0	0	0	0	0	
P01	14	1	0	0	0	0	0	0	
P01	15	1	0	0	0	0	0	0	
P01	16	1	0	0	0	0	0	0	
P01	17	1	0	0	0	0	0	0	
P01	18	1	0	0	0	0	0	0	
P01	19	1	0	0	0	0	0	0	
P01	20	1	0	0	0	0	0	0	
P01	21	1	0	0	0	0	0	0	
P02	1	1	0	0	0	0	0	0	
P02	2	1	1	0	0	0	0	0	
P02	3	1	1	0	0	0	0	0	
P02	4	1	1	0	0	0	0	0	
P02	5	1	1	0	0	0	0	0	
P02	6	1	1	0	0	0	0	0	
P02	7	1	1	0	0	0	0	0	
P02	8	1	1	0	0	0	0	0	
P02	9	1	1	0	0	0	0	0	
P02	10	1	1	0	0	0	0	0	
P02	11	1	1	0	0	0	0	0	
P02	12	1	1	0	0	0	0	0	
P02	13	1	1	0	0	0	0	0	
P02	14	1	0	1	0	0	0	0	
P02	15	1	0	1	0	1	0	0	
P02	16	1	0	1	0	0	0	0	
P02	17	1	0	1	0	0	0	1	
P02	18	1	0	1	0	0	0	0	
P02	19	1	0	1	0	1	0	0	
P02	20	1	0	1	0	1	0	0	
P02	21	1	0	0	1	0	0	0	
P02	22	1	0	0	1	0	0	0	
P02	23	1	0	0	1	0	0	0	
P02	24	1	0	0	1	0	0	0	
P02	25	1	0	0	1	0	0	0	
P02	26	1	0	0	1	0	0	0	
P02	27	1	0	0	1	0	0	0	
P02	28	1	0	0	1	0	0	0	
P02	29	1	0	0	1	0	0	0	
P02	30	1	0	0	1	0	0	0	
P02	31	1	0	0	1	0	0	0	
P02	32	1	0	0	1	0	0	0	
P02	33	1	0	0	1	0	0	0	
P02	34	1	0	0	1	0	0	0	
P02	35	1	0	0	1	0	0	0	
P02	36	1	0	0	1	0	0	0	
P02	37	1	0	0	1	0	0	0	
